run_id,configuration_run_id,security_configuration,fleet_size,compromised_device_percentage,compromised_devices,attack_temperature,hvac_power_kw,ambient_temperature,temperature_change_rate,attack_start_step,attack_success_rate,peak_load_kw,baseline_peak_load_kw,load_spike_kw,total_energy_kwh,comfort_loss_degree_minutes,demand_response_failure_rate,time_to_recovery,devices_quarantined,devices_recovered,human_approval_requests,human_approval_delay_minutes,average_command_latency_ms,false_positive_rate,legitimate_command_rejection_rate,firmware_update_delay_minutes,quarantine_availability_loss,devices_unavailable_due_to_quarantine,availability_rate,operator_workload_score,security_operation_cost,monitoring_overhead_score,total_operational_friction_score,security_risk_score,power_impact_score,comfort_impact_score,operational_friction_score,availability_loss_score,overall_resilience_score,balanced_objective_score,recovery_enabled,quarantine_enabled,firmware_signature_required,prompt_filter_strictness,human_approval_threshold
1,1,weak_baseline,500,5.0,25,16.0,2.5,28.0,0.15,10,0.0674,942.0,937.5,4.5,5640.75,800.0,0.0,0,0,0,3,6.3,116.0,0.0248,0.036,2,0.0,0,1.0,0.28,5.8,0.11,0.1895,0.0379,0.0137,0.0067,0.1895,0.0,0.9659,0.0341,False,False,False,0.2,1000
2,2,weak_baseline,500,5.0,25,28.0,2.0,28.0,0.15,8,0.0232,750.81,750.0,0.81,4503.24,300.0,0.0013,0,0,0,3,6.3,116.0,0.0248,0.036,2,0.0,0,1.0,0.28,5.8,0.11,0.1895,0.0135,0.0031,0.0025,0.1895,0.0,0.9758,0.0242,False,False,False,0.2,1000
3,3,weak_baseline,50,10.0,5,28.0,5.0,35.0,0.25,10,0.0633,257.5,257.5,0.0,1545.0,0.0,0.0093,0,0,0,0,0.0,116.0,0.0248,0.036,2,0.0,0,1.0,0.03,3.4,0.11,0.1255,0.0371,0.0,0.0,0.1255,0.0,0.9749,0.0251,False,False,False,0.2,1000
4,4,weak_baseline,50,10.0,5,28.0,2.5,30.0,0.15,8,0.063,103.75,103.75,0.0,622.5,0.0,0.0162,0,0,0,0,0.0,116.0,0.0248,0.036,2,0.0,0,1.0,0.03,3.4,0.11,0.1255,0.0387,0.0,0.0,0.1255,0.0,0.9734,0.0266,False,False,False,0.2,1000
5,5,weak_baseline,50,5.0,2,18.0,2.5,30.0,0.35,6,0.0437,103.75,103.75,0.0,622.5,0.0,0.0,0,0,0,0,0.0,116.0,0.0248,0.036,2,0.0,0,1.0,0.03,3.4,0.11,0.1255,0.024,0.0,0.0,0.1255,0.0,0.9802,0.0198,False,False,False,0.2,1000
6,6,weak_baseline,100,5.0,5,18.0,5.0,30.0,0.35,6,0.065,415.0,415.0,0.0,2490.0,0.0,0.0187,0,0,0,1,2.1,116.0,0.0248,0.036,2,0.0,0,1.0,0.1133,4.2,0.11,0.1468,0.0404,0.0,0.0,0.1468,0.0,0.9704,0.0296,False,False,False,0.2,1000
7,7,weak_baseline,500,10.0,50,28.0,2.0,35.0,0.15,6,0.0965,1035.625,1030.0,5.625,6205.3125,1500.0,0.0281,0,0,0,4,8.4,116.0,0.0248,0.036,2,0.0,0,1.0,0.3633,6.6,0.11,0.2108,0.0621,0.0156,0.0125,0.2108,0.0,0.9511,0.0489,False,False,False,0.2,1000
8,8,weak_baseline,50,5.0,2,18.0,2.5,35.0,0.25,8,0.0376,128.75,128.75,0.0,772.5,0.0,0.0,0,0,0,0,0.0,116.0,0.0248,0.036,2,0.0,0,1.0,0.03,3.4,0.11,0.1255,0.0207,0.0,0.0,0.1255,0.0,0.9812,0.0188,False,False,False,0.2,1000
9,9,weak_baseline,500,25.0,125,28.0,5.0,28.0,0.35,10,0.2083,1927.65,1875.0,52.65,11434.275,3342.8571,0.0482,0,0,0,7,14.7,116.0,0.0248,0.036,2,0.0,0,1.0,0.6133,9.0,0.11,0.2748,0.1371,0.0802,0.0279,0.2748,0.0,0.9039,0.0961,False,False,False,0.2,1000
10,10,weak_baseline,50,10.0,5,18.0,2.5,35.0,0.35,8,0.1191,130.7812,128.75,2.0312,780.625,85.7143,0.0229,0,0,0,0,0.0,116.0,0.0248,0.036,2,0.0,0,1.0,0.03,3.4,0.11,0.1255,0.0752,0.0451,0.0071,0.1255,0.0,0.9514,0.0486,False,False,False,0.2,1000
