security_configuration,metric,count,mean,median,standard_deviation,min,max,95_percent_confidence_interval_lower,95_percent_confidence_interval_upper
adaptive_resilience,attack_success_rate,250,0.0248,0.0232,0.0222,0.0,0.0966,0.022,0.0275
adaptive_resilience,compromised_devices,250,45.864,25.0,67.5018,2.0,250.0,37.4964,54.2316
adaptive_resilience,devices_recovered,250,1.74,0.0,4.1071,0.0,24.0,1.2309,2.2491
adaptive_resilience,load_spike_kw,250,5.3377,0.0,15.9835,0.0,120.0,3.3563,7.319
adaptive_resilience,demand_response_failure_rate,250,0.0142,0.0071,0.0194,0.0,0.1112,0.0118,0.0166
adaptive_resilience,total_energy_kwh,250,3627.1028,1545.0,4120.8803,450.0,15875.0,3116.2731,4137.9324
adaptive_resilience,comfort_loss_degree_minutes,250,178.38,0.0,503.5052,0.0,4320.0,115.9649,240.7951
adaptive_resilience,human_approval_requests,250,5.724,5.0,2.7652,4.0,14.0,5.3812,6.0668
adaptive_resilience,human_approval_delay_minutes,250,22.3236,19.5,10.7843,15.6,54.6,20.9868,23.6604
adaptive_resilience,average_command_latency_ms,250,284.0,284.0,0.0,284.0,284.0,284.0,284.0
adaptive_resilience,false_positive_rate,250,0.1062,0.1062,0.0,0.1062,0.1062,0.1062,0.1062
adaptive_resilience,legitimate_command_rejection_rate,250,0.114,0.114,0.0,0.114,0.114,0.114,0.114
adaptive_resilience,firmware_update_delay_minutes,250,16.0,16.0,0.0,16.0,16.0,16.0,16.0
adaptive_resilience,quarantine_availability_loss,250,0.0048,0.0,0.0074,0.0,0.0325,0.0038,0.0057
adaptive_resilience,availability_rate,250,0.9952,1.0,0.0074,0.9675,1.0,0.9943,0.9962
adaptive_resilience,operator_workload_score,250,0.5741,0.5367,0.1656,0.4533,1.0,0.5535,0.5946
adaptive_resilience,security_operation_cost,250,35.1792,34.6,2.2122,33.8,41.8,34.905,35.4534
adaptive_resilience,total_operational_friction_score,250,0.8992,0.8928,0.0488,0.8575,1.0,0.8932,0.9053
adaptive_resilience,security_risk_score,250,0.0186,0.0145,0.0183,0.0,0.0906,0.0164,0.0209
adaptive_resilience,operational_friction_score,250,0.8992,0.8928,0.0488,0.8575,1.0,0.8932,0.9053
adaptive_resilience,availability_loss_score,250,0.0048,0.0,0.0074,0.0,0.0325,0.0038,0.0057
adaptive_resilience,balanced_objective_score,250,0.1024,0.0946,0.019,0.0858,0.1853,0.1001,0.1048
adaptive_resilience,overall_resilience_score,250,0.8976,0.9054,0.019,0.8147,0.9142,0.8952,0.8999
firmware_focused,attack_success_rate,250,0.0299,0.0231,0.0286,0.0,0.1262,0.0264,0.0335
firmware_focused,compromised_devices,250,50.176,25.0,71.013,2.0,250.0,41.3731,58.9789
firmware_focused,devices_recovered,250,2.112,1.0,4.2012,0.0,28.0,1.5912,2.6328
firmware_focused,load_spike_kw,250,5.1379,0.855,11.9029,0.0,118.75,3.6624,6.6134
firmware_focused,demand_response_failure_rate,250,0.0169,0.0093,0.0251,0.0,0.1352,0.0138,0.02
firmware_focused,total_energy_kwh,250,4201.8537,1569.6875,4480.1126,450.0,15925.0,3646.4932,4757.2142
firmware_focused,comfort_loss_degree_minutes,250,181.8257,38.5714,389.3795,0.0,2160.0,133.5577,230.0937
firmware_focused,human_approval_requests,250,5.316,5.0,3.3498,2.0,14.0,4.9008,5.7312
firmware_focused,human_approval_delay_minutes,250,15.948,15.0,10.0493,6.0,42.0,14.7023,17.1937
firmware_focused,average_command_latency_ms,250,230.0,230.0,0.0,230.0,230.0,230.0,230.0
firmware_focused,false_positive_rate,250,0.061,0.061,0.0,0.061,0.061,0.061,0.061
firmware_focused,legitimate_command_rejection_rate,250,0.071,0.06,0.0145,0.06,0.09,0.0692,0.0728
firmware_focused,firmware_update_delay_minutes,250,16.0,16.0,0.0,16.0,16.0,16.0,16.0
firmware_focused,quarantine_availability_loss,250,0.0064,0.0013,0.0099,0.0,0.039,0.0052,0.0076
firmware_focused,availability_rate,250,0.9936,0.9987,0.0099,0.961,1.0,0.9924,0.9948
firmware_focused,operator_workload_score,250,0.4958,0.4917,0.2247,0.2417,1.0,0.4679,0.5236
firmware_focused,security_operation_cost,250,31.2528,31.0,2.6798,28.6,38.2,30.9206,31.585
firmware_focused,total_operational_friction_score,250,0.6894,0.6694,0.1054,0.5844,0.9544,0.6763,0.7024
firmware_focused,security_risk_score,250,0.0227,0.0158,0.0241,0.0,0.1131,0.0197,0.0256
firmware_focused,operational_friction_score,250,0.6894,0.6694,0.1054,0.5844,0.9544,0.6763,0.7024
firmware_focused,availability_loss_score,250,0.0064,0.0013,0.0099,0.0,0.039,0.0052,0.0076
firmware_focused,balanced_objective_score,250,0.0844,0.077,0.026,0.0584,0.1887,0.0812,0.0876
firmware_focused,overall_resilience_score,250,0.9156,0.923,0.026,0.8113,0.9416,0.9124,0.9188
network_focused,attack_success_rate,250,0.1165,0.0787,0.1045,0.0,0.4271,0.1035,0.1294
network_focused,compromised_devices,250,52.808,25.0,73.7322,2.0,250.0,43.6681,61.9479
network_focused,devices_recovered,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0
network_focused,load_spike_kw,250,21.9749,3.6,49.3423,0.0,460.0,15.8584,28.0914
network_focused,demand_response_failure_rate,250,0.0654,0.02,0.1049,0.0,0.4215,0.0524,0.0784
network_focused,total_energy_kwh,250,3752.3557,1564.2188,3991.4553,450.0,15687.6562,3257.5698,4247.1417
network_focused,comfort_loss_degree_minutes,250,2220.0229,321.4285,5704.9818,0.0,36800.0,1512.826,2927.2197
network_focused,human_approval_requests,250,5.38,5.0,3.4992,2.0,14.0,4.9462,5.8138
network_focused,human_approval_delay_minutes,250,16.14,15.0,10.4977,6.0,42.0,14.8387,17.4413
network_focused,average_command_latency_ms,250,195.0,195.0,0.0,195.0,195.0,195.0,195.0
network_focused,false_positive_rate,250,0.061,0.061,0.0,0.061,0.061,0.061,0.061
network_focused,legitimate_command_rejection_rate,250,0.0708,0.06,0.0144,0.06,0.09,0.069,0.0726
network_focused,firmware_update_delay_minutes,250,2.0,2.0,0.0,2.0,2.0,2.0,2.0
network_focused,quarantine_availability_loss,250,0.0402,0.011,0.0572,0.0,0.22,0.0331,0.0473
network_focused,availability_rate,250,0.9598,0.989,0.0572,0.78,1.0,0.9527,0.9669
network_focused,operator_workload_score,250,0.4992,0.4917,0.2355,0.2417,1.0,0.47,0.5284
network_focused,security_operation_cost,250,17.304,17.0,2.7994,14.6,24.2,16.957,17.651
network_focused,total_operational_friction_score,250,0.5159,0.4944,0.11,0.4094,0.7794,0.5023,0.5296
network_focused,security_risk_score,250,0.0885,0.05,0.0938,0.0,0.3843,0.0768,0.1001
network_focused,operational_friction_score,250,0.5159,0.4944,0.11,0.4094,0.7794,0.5023,0.5296
network_focused,availability_loss_score,250,0.0402,0.011,0.0572,0.0,0.22,0.0331,0.0473
network_focused,balanced_objective_score,250,0.1194,0.0754,0.0991,0.0409,0.4442,0.1072,0.1317
network_focused,overall_resilience_score,250,0.8806,0.9246,0.0991,0.5558,0.9591,0.8683,0.8928
weak_baseline,attack_success_rate,250,0.2762,0.1736,0.2465,0.0111,0.9198,0.2457,0.3068
weak_baseline,compromised_devices,250,53.228,25.0,71.0835,2.0,250.0,44.4164,62.0396
weak_baseline,devices_recovered,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weak_baseline,load_spike_kw,250,65.3398,8.125,165.1083,0.0,1412.5,44.8727,85.8068
weak_baseline,demand_response_failure_rate,250,0.1558,0.0409,0.2432,0.0,0.9313,0.1257,0.186
weak_baseline,total_energy_kwh,250,4344.4762,2260.125,4649.0717,450.0,21806.25,3768.1713,4920.7811
weak_baseline,comfort_loss_degree_minutes,250,5533.0629,820.0,13518.6314,0.0,90400.0,3857.276,7208.8498
weak_baseline,human_approval_requests,250,3.028,1.0,3.49,0.0,12.0,2.5954,3.4606
weak_baseline,human_approval_delay_minutes,250,6.3588,2.1,7.329,0.0,25.2,5.4503,7.2673
weak_baseline,average_command_latency_ms,250,116.0,116.0,0.0,116.0,116.0,116.0,116.0
weak_baseline,false_positive_rate,250,0.0248,0.0248,0.0,0.0248,0.0248,0.0248,0.0248
weak_baseline,legitimate_command_rejection_rate,250,0.036,0.036,0.0,0.036,0.036,0.036,0.036
weak_baseline,firmware_update_delay_minutes,250,2.0,2.0,0.0,2.0,2.0,2.0,2.0
weak_baseline,quarantine_availability_loss,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weak_baseline,availability_rate,250,1.0,1.0,0.0,1.0,1.0,1.0,1.0
weak_baseline,operator_workload_score,250,0.2797,0.1133,0.2841,0.03,1.0,0.2445,0.3149
weak_baseline,security_operation_cost,250,5.8224,4.2,2.792,3.4,13.0,5.4763,6.1685
weak_baseline,total_operational_friction_score,250,0.1901,0.1468,0.0745,0.1255,0.3815,0.1809,0.1993
weak_baseline,security_risk_score,250,0.2099,0.1104,0.2206,0.0061,0.829,0.1825,0.2372
