weighting_profile,security_configuration,mean_weighted_objective_score,mean_security_risk_score,mean_power_impact_score,mean_comfort_impact_score,mean_demand_response_failure_score,mean_operational_friction_score,mean_availability_loss_score,mean_attack_success_rate,mean_demand_response_failure_rate,mean_availability_rate,rank
balanced,firmware_focused,0.091382828,0.05952857290322581,0.07797010413606872,0.0020113463982300885,0.016903199999999997,0.5445135601465202,0.0064167999999999985,0.029911200000000002,0.016903199999999997,0.9935832,1
balanced,adaptive_resilience,0.100828292,0.052544453548387104,0.06643308081225788,0.0019732300973451327,0.0141712,0.6888035847619047,0.004763199999999996,0.0247772,0.0141712,0.9952368,2
balanced,network_focused,0.106688148,0.1213893735483871,0.07569500478502397,0.024557774982300884,0.0653836,0.37618737267399266,0.040224,0.1164896,0.0653836,0.959776,3
balanced,weak_baseline,0.135515804,0.23219682322580648,0.10525580480978065,0.06120644753982301,0.1558332,0.12249642410256412,0.0,0.27622840000000004,0.1558332,1.0,4
operations_focused,weak_baseline,0.109932824,0.23219682322580648,0.10525580480978065,0.06120644753982301,0.1558332,0.12249642410256412,0.0,0.27622840000000004,0.1558332,1.0,1
operations_focused,network_focused,0.17448243600000002,0.1213893735483871,0.07569500478502397,0.024557774982300884,0.0653836,0.37618737267399266,0.040224,0.1164896,0.0653836,0.959776,2
operations_focused,firmware_focused,0.21048087599999998,0.05952857290322581,0.07797010413606872,0.0020113463982300885,0.016903199999999997,0.5445135601465202,0.0064167999999999985,0.029911200000000002,0.016903199999999997,0.9935832,3
operations_focused,adaptive_resilience,0.25817334,0.052544453548387104,0.06643308081225788,0.0019732300973451327,0.0141712,0.6888035847619047,0.004763199999999996,0.0247772,0.0141712,0.9952368,4
security_focused,firmware_focused,0.071920412,0.05952857290322581,0.07797010413606872,0.0020113463982300885,0.016903199999999997,0.5445135601465202,0.0064167999999999985,0.029911200000000002,0.016903199999999997,0.9935832,1
security_focused,adaptive_resilience,0.073323032,0.052544453548387104,0.06643308081225788,0.0019732300973451327,0.0141712,0.6888035847619047,0.004763199999999996,0.0247772,0.0141712,0.9952368,2
security_focused,network_focused,0.10080684399999999,0.1213893735483871,0.07569500478502397,0.024557774982300884,0.0653836,0.37618737267399266,0.040224,0.1164896,0.0653836,0.959776,3
security_focused,weak_baseline,0.156428844,0.23219682322580648,0.10525580480978065,0.06120644753982301,0.1558332,0.12249642410256412,0.0,0.27622840000000004,0.1558332,1.0,4
